"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","340","TC_07: Enter Full Name, Enter invalid email without the part between ""@"" & "".""","Blink22 Suite","Thu Aug 14 18:08:48 EEST 2025","passed","Thu Aug 14 18:08:48 EEST 2025","Tests.BlogTests","Blog Tests","Tests.BlogTests","TC_07"
"","243","TC_02: Leave Full Name empty, Enter valid Email","Blink22 Suite","Thu Aug 14 18:08:30 EEST 2025","passed","Thu Aug 14 18:08:30 EEST 2025","Tests.BlogTests","Blog Tests","Tests.BlogTests","TC_02"
"","3","preConditions","Blink22 Suite","Wed Aug 13 22:26:27 EEST 2025","broken","Wed Aug 13 22:26:27 EEST 2025","Tests.BlogTests","Blog Tests","Tests.BlogTests","preConditions"
"","329","TC_05: Enter Full Name, Enter invalid email without the part before ""@""","Blink22 Suite","Thu Aug 14 18:08:40 EEST 2025","passed","Thu Aug 14 18:08:40 EEST 2025","Tests.BlogTests","Blog Tests","Tests.BlogTests","TC_05"
"","231","TC_04: Leave Full Name and Email empty","Blink22 Suite","Thu Aug 14 18:08:37 EEST 2025","passed","Thu Aug 14 18:08:37 EEST 2025","Tests.BlogTests","Blog Tests","Tests.BlogTests","TC_04"
"","229","TC_03: Enter Full Name, Leave Email empty","Blink22 Suite","Thu Aug 14 18:08:33 EEST 2025","passed","Thu Aug 14 18:08:33 EEST 2025","Tests.BlogTests","Blog Tests","Tests.BlogTests","TC_03"
"","2102","TC_01: Enter Full Name and valid Email","Blink22 Suite","Thu Aug 14 18:08:24 EEST 2025","passed","Thu Aug 14 18:08:26 EEST 2025","Tests.BlogTests","Blog Tests","Tests.BlogTests","TC_01"
"","316","TC_06: Enter Full Name, Enter invalid email without ""@""","Blink22 Suite","Thu Aug 14 18:08:44 EEST 2025","passed","Thu Aug 14 18:08:44 EEST 2025","Tests.BlogTests","Blog Tests","Tests.BlogTests","TC_06"
"","319","TC_08: Enter Full Name, Enter invalid email without "".""","Blink22 Suite","Thu Aug 14 18:08:51 EEST 2025","passed","Thu Aug 14 18:08:51 EEST 2025","Tests.BlogTests","Blog Tests","Tests.BlogTests","TC_08"
